Category,NPC_or_Entity,Source_File,Reference_Type,Reference,Sample_Text,Pegasus_Value,LSB_Value,Match,Notes
External script,(see mission/quest NPC),scripts/globals/shop.lua,metalworksID.text,TAKIYAH_OPEN_DIALOG,"Hey, it's your lucky day! I've got a fresh batch of goods straight from the island of Qufim!",10003,10003,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/globals/shop.lua,metalworksID.text,TAKIYAH_CLOSED_DIALOG,Maybe someday I'll be able to sell goods from Qufim Island... Someday...,10002,10002,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/1_1_The_Zeruhn_Report.lua,metalworksID.text,ORIGINAL_MISSION_OFFSET,You can consult the Mission section of the main menu to review your objectives. Speed and efficiency are your priorities. Dismissed.,14,14,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/1_2_A_Geological_Survey.lua,metalworksID.text,ORIGINAL_MISSION_OFFSET+3,You can consult the Mission section of the main menu to review your objectives. Speed and efficiency are your priorities. Dismissed.,17,17,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/1_3_Fetichism.lua,metalworksID.text,ORIGINAL_MISSION_OFFSET+6,You can consult the Mission section of the main menu to review your objectives. Speed and efficiency are your priorities. Dismissed.,20,20,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/2_1_The_Crystal_Line.lua,metalworksID.text,MISSION_DIALOG_CID_TO_AYAME,Give it to one of his Mythril Musketeers instead. Ayame and Naji should be on guard near the President's Office. Either one will do.,7594,7594,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/2_1_The_Crystal_Line.lua,metalworksID.text,ORIGINAL_MISSION_OFFSET+19,You can consult the Mission section of the main menu to review your objectives. Speed and efficiency are your priorities. Dismissed.,33,33,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/2_2_Wading_Beasts.lua,metalworksID.text,ORIGINAL_MISSION_OFFSET+21,You can consult the Mission section of the main menu to review your objectives. Speed and efficiency are your priorities. Dismissed.,35,35,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/2_3_0_The_Emissary.lua,metalworksID.text,ORIGINAL_MISSION_OFFSET+23,You can consult the Mission section of the main menu to review your objectives. Speed and efficiency are your priorities. Dismissed.,37,37,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/2_3_0_The_Emissary.lua,metalworksID.text,GOOD_LUCK,"Good luck on your mission. Bastokers like to do things by the book, so stay out of trouble and follow their rules.",7467,7467,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/5_2_Xarcabard_Land_of_Truths.lua,metalworksID.text,ORIGINAL_MISSION_OFFSET+39,You can consult the Mission section of the main menu to review your objectives. Speed and efficiency are your priorities. Dismissed.,53,53,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/6_1_Return_of_the_Talekeeper.lua,metalworksID.text,EXTENDED_MISSION_OFFSET,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8618,8618,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/6_2_The_Pirates_Cove.lua,metalworksID.text,EXTENDED_MISSION_OFFSET+3,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8621,8621,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/7_1_The_Final_Image.lua,metalworksID.text,EXTENDED_MISSION_OFFSET+5,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8623,8623,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/7_2_On_My_Way.lua,metalworksID.text,EXTENDED_MISSION_OFFSET+7,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8625,8625,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/8_1_The_Chains_That_Bind_Us.lua,metalworksID.text,EXTENDED_MISSION_OFFSET+10,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8628,8628,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/8_2_Enter_the_Talekeeper.lua,metalworksID.text,EXTENDED_MISSION_OFFSET+12,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8630,8630,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/9_1_The_Salt_of_the_Earth.lua,metalworksID.text,EXTENDED_MISSION_OFFSET+14,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8632,8632,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/missions/bastok/9_2_Where_Two_Paths_Converge.lua,metalworksID.text,EXTENDED_MISSION_OFFSET+19,Go to Ore Street and talk to Medicine Eagle. He says he was there when the commotion started.,8637,8637,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Chips.lua,metalworksID.text,ITEM_CANNOT_BE_OBTAINED,You cannot obtain the <item>. Come back after sorting your inventory.,6440,6440,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Chips.lua,metalworksID.text,ITEM_CANNOT_BE_OBTAINED,You cannot obtain the <item>. Come back after sorting your inventory.,6440,6440,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Shoot_First_Ask_Questions_Later.lua,metalworksID.text,DETONATOR_LEARNED,You have learned the weapon skill Detonator!,9061,9061,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/The_Weight_of_Your_Limits.lua,metalworksID.text,STEEL_CYCLONE_LEARNED,You have learned the weapon skill Steel Cyclone!,9036,9036,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Trust_Bastok.lua,metalworksID.text,YOU_LEARNED_TRUST,You learned Trust: <name>!,6509,6509,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Trust_Bastok.lua,metalworksID.text,KEYITEM_LOST,Lost key item: <keyitem>.,6450,6450,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Trust_Bastok.lua,metalworksID.text,CALL_MULTIPLE_ALTER_EGO,You are now able to call multiple alter egos.,6510,6510,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Trust_Bastok.lua,metalworksID.text,YOU_LEARNED_TRUST,You learned Trust: <name>!,6509,6509,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Trust_Bastok.lua,metalworksID.text,KEYITEM_LOST,Lost key item: <keyitem>.,6450,6450,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Trust_Bastok.lua,metalworksID.text,YOU_LEARNED_TRUST,You learned Trust: <name>!,6509,6509,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Trust_Bastok.lua,metalworksID.text,YOU_LEARNED_TRUST,You learned Trust: <name>!,6509,6509,YES,Resolved via IDs.lua constant (+ offset if any)
External script,(see mission/quest NPC),scripts/quests/bastok/Trust_Bastok.lua,metalworksID.text,YOU_LEARNED_TRUST,You learned Trust: <name>!,6509,6509,YES,Resolved via IDs.lua constant (+ offset if any)
